,Transaction ID,Transaction Date,Menu,Category,Menu ID,Qty,Price,Total Spent,Payment Method,Order Type
87,SUN-2624711,2023-04-05,Cinnamon Roll,Dessert,DST-05,error,28000,112000,Debit Card,Take Away
88,SUN-9903500,2023-05-06,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Cash,Take Away
89,SUN-4728761,2023-11-03,Fudgy Brownies,Dessert,DST-02,4,25000,missing,Debit Card,Take Away
90,SUN-7619456,2023-08-01,Cinnamon Roll,Dessert,DST-05,3,28000,84000,Cash,Dine In
91,SUN-4458150,2023-07-05,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Take Away
92,SUN-6861326,2023-09-03,Espreso Single,Drinks,DRK-01,3,22000,66000,Debit Card,Take Away
93,SUN-5710075,2023-07-06,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Debit Card,Online Order
94,SUN-8696965,2023-12-25,Iced Americano,Drinks,DRK-02,nan,28000,28000,Cash,Take Away
95,SUN-3209298,2023-10-02,Grill Chicken Caesar Salad,Food,FOD-04,1,unknown,42000,error,Online Order
96,SUN-6335997,2023-01-20,nan,unknown,DST-02,2,25000,50000,Debit Card,Online Order
97,SUN-8701876,2023-02-23,error,Drinks,DRK-04,4,error,152000,missing,Dine In
98,SUN-9369959,2023-07-18,Cafe Latte,Drinks,DRK-03,error,32000,64000,Digital Wallet,Take Away
99,SUN-9007520,2023-10-27,Creamy Maycha Latte,Drinks,DRK-05,2,35000,70000,Digital Wallet,Dine In
100,SUN-6965170,2023-01-26,Buttermilk Fried Chicken,Food,FOD-01,4,48000,error,Digital Wallet,nan
101,SUN-2176637,2023-09-07,New York Cheesecake,Dessert,DST-03,1,missing,missing,Debit Card,Dine In
102,SUN-7190228,2023-10-05,Iced Americano,Drinks,DRK-02,4,28000,112000,Debit Card,Online Order
103,SUN-9112378,2023-10-15,Caramel Machiato,Drinks,DRK-04,4,38000,152000,Digital Wallet,Online Order
104,SUN-1884453,2023-11-15,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Digital Wallet,Online Order
105,SUN-6599234,2023-03-11,Club Sandwich,nan,FOD-05,1,missing,45000,Digital Wallet,Online Order
106,SUN-2044559,2023-07-22,Iced Americano,Drinks,DRK-02,unknown,28000,28000,Debit Card,Online Order
107,SUN-6571331,2023-10-20,Cinnamon Roll,Dessert,DST-05,1,28000,28000,Debit Card,Online Order
108,SUN-2121958,2023-05-11,Fudgy Brownies,Dessert,DST-02,4,25000,100000,Cash,Take Away
109,SUN-3448229,2023-03-11,Choco Lava Cake,error,DST-04,3,35000,105000,Digital Wallet,Take Away
110,SUN-9080212,2023-06-25,Nasi Goreng Kampung,unknown,FOD-03,1,38000,38000,Debit Card,Dine In
111,SUN-1397780,2023-01-30,Choco Lava Cake,Dessert,DST-04,3,35000,105000,error,Take Away
112,SUN-3627858,2023-03-22,New York Cheesecake,missing,DST-03,1,42000,42000,Digital Wallet,Dine In
113,SUN-2692139,2023-11-09,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Cash,Take Away
114,SUN-2440799,2023-09-01,Fudgy Brownies,Dessert,DST-02,2,unknown,50000,nan,error
115,SUN-8218015,2023-11-11,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,error,Debit Card,Take Away
116,SUN-5637471,2023-11-03,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Cash,nan
117,SUN-6718347,2023-11-16,Club Sandwich,Food,FOD-05,1,45000,45000,Debit Card,unknown
118,SUN-8029297,2023-04-24,Cafe Latte,Drinks,DRK-03,3,32000,96000,Cash,Take Away
119,SUN-6442569,2023-06-22,Espreso Single,Drinks,DRK-01,2,22000,44000,unknown,Take Away
120,SUN-3449758,2023-08-14,unknown,Food,FOD-04,3,42000,126000,Debit Card,nan
121,SUN-9376620,2023-04-11,New York Cheesecake,Dessert,DST-03,3,missing,nan,Digital Wallet,Dine In
122,SUN-6870859,2023-12-02,New York Cheesecake,Dessert,DST-03,2,42000,unknown,nan,Online Order
123,SUN-3389280,2023-01-03,Beef Carbonara Pasta,Food,FOD-02,4,52000,208000,Digital Wallet,Take Away
124,SUN-2168768,2023-11-02,Choco Lava Cake,Dessert,DST-04,4,35000,missing,Debit Card,Online Order
125,SUN-4370626,2023-08-24,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Digital Wallet,Dine In
126,SUN-7072237,2023-04-03,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Cash,Dine In
127,SUN-7240072,2023-09-20,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
128,SUN-6852486,2023-05-31,New York Cheesecake,Dessert,DST-03,nan,42000,84000,Digital Wallet,nan
129,SUN-3821196,2023-11-01,Fudgy Brownies,Dessert,DST-02,3,25000,75000,Digital Wallet,Dine In
130,SUN-6602783,2023-12-31,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Debit Card,Take Away
131,SUN-8317716,2023-04-13,Creamy Maycha Latte,Drinks,DRK-05,2,35000,70000,Digital Wallet,Online Order
132,SUN-2998632,2023-06-21,missing,Drinks,DRK-03,3,32000,96000,Cash,Take Away
133,SUN-4646385,2023-03-20,Cinnamon Roll,Dessert,DST-05,4,28000,112000,Digital Wallet,Take Away
134,SUN-6848832,2023-09-10,Caramel Machiato,Drinks,DRK-04,2,nan,76000,Debit Card,error
135,SUN-3881732,2023-08-22,Fudgy Brownies,Dessert,DST-02,3,unknown,75000,Debit Card,Online Order
136,SUN-4437995,2023-11-05,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Cash,Dine In
137,SUN-4064754,2023-10-21,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,nan
138,SUN-7246577,2023-12-23,Espreso Single,Drinks,DRK-01,2,22000,44000,Debit Card,Dine In
139,SUN-4378964,2023-12-18,Espreso Single,Drinks,DRK-01,1,22000,22000,Debit Card,Online Order
140,SUN-5252162,2023-11-23,New York Cheesecake,Dessert,nan,4,42000,168000,Debit Card,Dine In
141,SUN-7914926,2023-02-24,Creamy Maycha Latte,Drinks,DRK-05,1,35000,35000,Debit Card,nan
142,SUN-4545296,2023-01-16,Cinnamon Roll,Dessert,DST-05,1,nan,28000,nan,Online Order
143,SUN-1133441,2023-06-26,Iced Americano,Drinks,DRK-02,1,28000,28000,Digital Wallet,Online Order
144,SUN-1807755,2023-05-06,Choco Lava Cake,Dessert,DST-04,3,35000,105000,unknown,Take Away
145,SUN-5441274,2023-11-23,unknown,Dessert,DST-01,3,38000,114000,Debit Card,Take Away
146,SUN-7021722,2023-10-18,missing,Drinks,DRK-05,2,35000,missing,unknown,Online Order
147,SUN-2768078,2023-06-04,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
148,SUN-8541636,2023-07-30,Fudgy Brownies,Dessert,DST-02,2,25000,error,missing,Take Away
149,SUN-2164854,2023-08-04,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Digital Wallet,Online Order
150,SUN-5063759,2023-11-22,Cafe Latte,Drinks,missing,2,32000,64000,Cash,unknown
151,SUN-2020546,2023-01-09,Buttermilk Fried Chicken,Food,FOD-01,missing,48000,144000,Cash,Dine In
152,SUN-2859577,2023-06-28,New York Cheesecake,error,DST-03,4,42000,168000,Debit Card,Online Order
153,SUN-3668874,2023-09-03,Choco Lava Cake,Dessert,missing,missing,35000,70000,Debit Card,missing
154,SUN-3776525,2023-06-15,unknown,unknown,DRK-04,2,38000,76000,error,nan
155,SUN-2797868,2023-12-02,Creamy Maycha Latte,Drinks,DRK-05,4,35000,nan,Digital Wallet,Online Order
156,SUN-4534516,2023-12-13,New York Cheesecake,Dessert,DST-03,2,42000,84000,Debit Card,Dine In
157,SUN-7480897,2023-10-29,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,nan
158,SUN-1818575,2023-06-19,Classic Tirmaisu,Dessert,DST-01,2,unknown,76000,Debit Card,Online Order
159,SUN-8890449,2023-11-20,Iced Americano,Drinks,DRK-02,3,missing,84000,Debit Card,Dine In
160,SUN-6063953,2023-01-27,Choco Lava Cake,Dessert,DST-04,2,35000,70000,error,Take Away
161,SUN-3604425,2023-08-30,Creamy Maycha Latte,Drinks,unknown,1,35000,error,missing,Dine In
162,SUN-3324318,2023-04-08,Creamy Maycha Latte,Drinks,DRK-05,error,35000,error,Digital Wallet,Dine In
163,SUN-3373933,2023-03-31,Grill Chicken Caesar Salad,missing,FOD-04,2,42000,84000,Cash,Take Away
164,SUN-3376191,2023-09-06,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Digital Wallet,error
165,SUN-3220183,2023-10-08,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Cash,nan
166,SUN-2098329,2023-11-21,missing,Drinks,DRK-03,4,32000,128000,Debit Card,missing
167,SUN-9511805,2023-03-19,Fudgy Brownies,Dessert,DST-02,unknown,25000,100000,Debit Card,Online Order
168,SUN-8191587,2023-11-15,Grill Chicken Caesar Salad,nan,FOD-04,4,42000,168000,missing,Dine In
169,SUN-1219774,2023-10-31,Classic Tirmaisu,Dessert,DST-01,4,unknown,152000,Debit Card,Dine In
170,SUN-2598345,2023-04-25,Fudgy Brownies,missing,DST-02,3,25000,75000,unknown,Online Order
171,SUN-7979580,2023-01-23,Iced Americano,unknown,DRK-02,1,28000,28000,Debit Card,Online Order
172,SUN-2376089,2023-10-09,Nasi Goreng Kampung,Food,FOD-03,4,38000,152000,nan,Online Order
173,SUN-1428244,2023-10-29,Club Sandwich,Food,FOD-05,3,unknown,135000,nan,Dine In
174,SUN-1596637,2023-06-18,Choco Lava Cake,Dessert,error,1,35000,35000,Cash,error
175,SUN-1232934,2023-03-02,unknown,Food,FOD-04,4,42000,168000,Debit Card,Online Order
176,SUN-4940154,2023-02-23,Espreso Single,Drinks,DRK-01,error,22000,88000,Digital Wallet,Online Order
177,SUN-7778868,2023-05-17,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Online Order
178,SUN-4468281,2023-10-04,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Digital Wallet,Dine In
179,SUN-2820156,2023-04-26,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,Digital Wallet,Take Away
180,SUN-8610447,2023-01-12,missing,error,DST-02,1,25000,25000,Debit Card,Dine In
181,SUN-6857776,2023-09-10,Cafe Latte,Drinks,DRK-03,4,32000,128000,Digital Wallet,Dine In
182,SUN-3268170,2023-09-29,Cinnamon Roll,Dessert,DST-05,4,nan,112000,Debit Card,Take Away
183,SUN-8460867,2023-03-07,Espreso Single,Drinks,DRK-01,2,22000,44000,Debit Card,Dine In
184,SUN-2202653,2023-07-24,nan,Drinks,DRK-02,1,28000,28000,error,Dine In
185,SUN-5930089,2023-05-25,Club Sandwich,Food,FOD-05,2,45000,90000,Digital Wallet,Dine In
186,SUN-3523061,2023-07-02,Cafe Latte,Drinks,missing,4,32000,128000,Debit Card,Online Order
187,SUN-3907234,2023-01-03,unknown,Drinks,DRK-05,1,35000,35000,Debit Card,error
188,SUN-3376408,2023-08-20,New York Cheesecake,Dessert,DST-03,1,missing,42000,Debit Card,Online Order
189,SUN-2474644,2023-04-06,Fudgy Brownies,Dessert,DST-02,2,25000,50000,Debit Card,Take Away
190,SUN-6435249,2023-07-22,missing,Food,FOD-01,nan,48000,96000,Digital Wallet,Online Order
191,SUN-2293712,2023-06-03,nan,Drinks,DRK-04,1,38000,38000,Digital Wallet,Online Order
192,SUN-5780941,2023-08-11,missing,unknown,DRK-04,3,38000,114000,Debit Card,Online Order
193,SUN-7361289,2023-02-08,Club Sandwich,Food,FOD-05,unknown,45000,missing,Digital Wallet,Online Order
194,SUN-7418451,2023-05-13,New York Cheesecake,error,DST-03,1,42000,42000,Digital Wallet,Take Away
195,SUN-2550749,2023-08-20,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Debit Card,Online Order
196,SUN-2242503,2023-10-08,Nasi Goreng Kampung,Food,FOD-03,3,38000,114000,Debit Card,Online Order
197,SUN-7971008,2023-05-19,Choco Lava Cake,nan,DST-04,4,35000,140000,Cash,Take Away
198,SUN-2736348,2023-01-09,Cafe Latte,unknown,DRK-03,1,32000,unknown,Debit Card,error
199,SUN-1342287,2023-09-22,error,Dessert,DST-05,error,28000,56000,Debit Card,Dine In
200,SUN-1631517,2023-07-04,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Debit Card,error
201,SUN-1687780,2023-08-27,Choco Lava Cake,Dessert,DST-04,3,35000,105000,Digital Wallet,Take Away
202,SUN-8196563,2023-02-28,Cafe Latte,nan,DRK-03,3,unknown,96000,Debit Card,Online Order
203,SUN-4984981,2023-06-07,Fudgy Brownies,unknown,DST-02,4,25000,100000,Digital Wallet,Online Order
204,SUN-2594032,2023-11-19,Caramel Machiato,error,DRK-04,4,38000,152000,Debit Card,Take Away
205,SUN-6140431,2023-11-13,Choco Lava Cake,nan,DST-04,1,35000,35000,Digital Wallet,Take Away
206,SUN-6813486,2023-04-26,Creamy Maycha Latte,Drinks,DRK-05,4,unknown,nan,Digital Wallet,Dine In
207,SUN-5616345,2023-08-19,nan,error,DRK-01,2,22000,44000,Debit Card,Online Order
208,SUN-8141910,2023-01-31,New York Cheesecake,Dessert,DST-03,1,42000,42000,error,Online Order
209,SUN-9830927,2023-10-23,nan,Food,FOD-04,unknown,42000,84000,Digital Wallet,Dine In
210,SUN-9108748,2023-04-08,Beef Carbonara Pasta,Food,FOD-02,1,error,52000,Cash,Take Away
211,SUN-4772500,2023-05-05,Espreso Single,Drinks,error,4,22000,88000,Digital Wallet,Online Order
212,SUN-3987335,2023-12-19,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Debit Card,Online Order
213,SUN-9763101,2023-07-18,nan,Drinks,DRK-04,4,38000,error,Debit Card,unknown
214,SUN-6865526,2023-11-16,Creamy Maycha Latte,unknown,DRK-05,4,35000,140000,Digital Wallet,Dine In
215,SUN-4977216,2023-03-13,Nasi Goreng Kampung,Food,FOD-03,1,38000,38000,Debit Card,Online Order
216,SUN-1597202,2023-10-04,Iced Americano,Drinks,DRK-02,1,28000,28000,Digital Wallet,Dine In
217,SUN-7905133,2023-12-30,New York Cheesecake,Dessert,DST-03,4,42000,168000,Digital Wallet,Take Away
218,SUN-8380533,2023-01-29,Club Sandwich,Food,FOD-05,1,45000,45000,Debit Card,Dine In
219,SUN-7696811,2023-03-30,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Take Away
220,SUN-8800863,2023-02-23,Buttermilk Fried Chicken,Food,FOD-01,1,nan,48000,Cash,Dine In
221,SUN-7274735,2023-04-04,Classic Tirmaisu,Dessert,DST-01,error,38000,38000,Digital Wallet,Online Order
222,SUN-2350697,2023-04-24,Caramel Machiato,error,DRK-04,4,38000,152000,Digital Wallet,Online Order
223,SUN-8557956,2023-01-27,New York Cheesecake,Dessert,DST-03,3,42000,126000,unknown,Take Away
224,SUN-6403515,2023-11-24,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Digital Wallet,Online Order
225,SUN-4396863,2023-04-05,Iced Americano,Drinks,DRK-02,4,28000,112000,error,Take Away
226,SUN-6923322,2023-12-03,Beef Carbonara Pasta,Food,FOD-02,4,nan,208000,Digital Wallet,Dine In
227,SUN-7762641,2023-10-06,New York Cheesecake,Dessert,DST-03,2,42000,error,Cash,Dine In
228,SUN-4601079,2023-03-04,New York Cheesecake,Dessert,DST-03,1,42000,42000,Debit Card,Online Order
229,SUN-3763262,2023-09-12,Fudgy Brownies,Dessert,DST-02,2,unknown,50000,Debit Card,Online Order
230,SUN-1480627,2023-10-10,error,Drinks,DRK-01,4,22000,nan,Debit Card,Online Order
231,SUN-8622709,2023-02-16,error,Food,FOD-03,2,38000,76000,Debit Card,Online Order
232,SUN-6757150,2023-02-17,Iced Americano,Drinks,DRK-02,nan,28000,84000,Digital Wallet,missing
233,SUN-5596627,2023-05-18,unknown,Food,FOD-01,3,48000,144000,Digital Wallet,unknown
234,SUN-9841085,2023-01-26,error,Dessert,DST-01,error,38000,error,Debit Card,Dine In
235,SUN-2713777,2023-06-03,Creamy Maycha Latte,Drinks,DRK-05,3,35000,105000,Digital Wallet,error
236,SUN-3524544,2023-06-25,Grill Chicken Caesar Salad,Food,unknown,2,42000,84000,Debit Card,unknown
237,SUN-7653084,unknown,Buttermilk Fried Chicken,Food,FOD-01,4,unknown,192000,Cash,Take Away
238,SUN-1235445,2023-07-28,error,Dessert,nan,3,35000,105000,Debit Card,Dine In
239,SUN-1667427,2023-06-16,Buttermilk Fried Chicken,missing,FOD-01,4,48000,192000,missing,unknown
240,SUN-6268847,2023-03-22,nan,unknown,DRK-03,1,32000,32000,Digital Wallet,Take Away
241,SUN-1316955,2023-08-03,Cinnamon Roll,Dessert,DST-05,1,unknown,28000,Debit Card,Dine In
242,SUN-4588078,2023-06-16,Iced Americano,Drinks,DRK-02,2,28000,56000,Digital Wallet,Dine In
243,SUN-7885330,2023-11-03,Choco Lava Cake,Dessert,DST-04,nan,35000,105000,Digital Wallet,Online Order
244,SUN-3431116,2023-09-13,Caramel Machiato,unknown,DRK-04,missing,38000,38000,Digital Wallet,error
245,SUN-4194603,2023-09-23,Iced Americano,Drinks,DRK-02,3,28000,84000,Cash,Take Away
246,SUN-2510315,2023-07-28,Caramel Machiato,Drinks,DRK-04,4,missing,152000,Cash,nan
247,SUN-8797339,2023-05-14,Grill Chicken Caesar Salad,Food,error,2,42000,84000,Debit Card,Dine In
248,SUN-5435220,2023-04-13,Cafe Latte,Drinks,DRK-03,3,32000,96000,Cash,Dine In
249,SUN-5323651,2023-06-13,Buttermilk Fried Chicken,Food,FOD-01,4,48000,192000,nan,Dine In
250,SUN-2691185,2023-07-28,Choco Lava Cake,Dessert,DST-04,3,35000,missing,Cash,Take Away
251,SUN-8355592,2023-05-15,missing,Food,FOD-04,2,42000,84000,Digital Wallet,Dine In
252,SUN-9556826,2023-02-23,error,Food,FOD-02,3,52000,nan,Digital Wallet,Take Away
253,SUN-5612383,2023-02-10,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Debit Card,Dine In
